cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,pca_used,pca_n_components,pca_explained_variance_ratio_sum
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,logistic_regression,20260707,4,3,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,logistic_regression,20260707,4,4,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,random_forest,20260707,4,0,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,random_forest,20260707,4,1,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,random_forest,20260707,4,2,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,random_forest,20260707,4,3,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,random_forest,20260707,4,4,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,hist_gradient_boosting,20260707,4,0,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,hist_gradient_boosting,20260707,4,1,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,hist_gradient_boosting,20260707,4,2,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,hist_gradient_boosting,20260707,4,3,0,0,
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,hist_gradient_boosting,20260707,4,4,0,0,
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics,logistic_regression,20260707,4,0,0,0,
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics,logistic_regression,20260707,4,1,0,0,
