cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
fnirs_bikom_vft_native,fnirs,bikom,vft,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1022,0.020447166894767888,-0.004652858958224984,0.044001212314612355,0.008454270606066128,-0.016171651642135357,0.03567059425558919,5,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,logistic_regression,20260707,signal,demographics,1022,-0.06622242301031545,-0.11118025422488405,-0.021578404743199154,-0.04720977535609516,-0.09711203285710944,0.003777392727547779,0,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,logistic_regression,20260707,signal,qc,1022,0.03619943572640261,-0.016851139421367022,0.0877369946845523,0.037059410887256505,-0.009262710792398085,0.08150308055913694,5,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,logistic_regression,20260707,signal_qc_demographics,signal,1022,0.012264313902656143,-0.00293283476705993,0.024648140480040198,0.011437081033803642,-0.004887640313220407,0.02600036496017688,5,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,random_forest,20260707,signal,demographics,1022,-0.05927308804705522,-0.10764091234782973,-0.009216637143290827,-0.06115477695942351,-0.10930860457109429,-0.011441715886740875,0,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,random_forest,20260707,signal,qc,1022,0.02773533176541465,-0.023152919633338317,0.08014916196227997,0.02325687118968467,-0.0186457681538168,0.06721374070650431,2,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,random_forest,20260707,signal_qc_demographics,signal,1022,0.0012091577087125494,-0.023612806987827487,0.026690072517920462,0.00980220394530118,-0.015266349869451044,0.035981940863502725,2,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,20260707,signal,demographics,1422,-0.08261767074457349,-0.1200700100402681,-0.04382819440356474,-0.030718474341926927,-0.06608093937670223,0.003639938217067823,0,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,20260707,signal,qc,1422,-0.00855049453030543,-0.05037772079149321,0.02886429438049359,0.005852368986943635,-0.028452438968197002,0.040194416724292505,1,5,1000
fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1422,0.04886933287830575,0.018548091009857545,0.07920641763656056,0.02595207863572152,-0.00043830181442693484,0.05193064811464224,5,5,1000
