cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__standard_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__target_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__attention__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__condition_aware__mean_std__robust_z,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__difference_wave__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__standard_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,eegnet__target_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__condition_aware__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__difference_wave__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__standard_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,inceptiontime__target_only__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
